order_id,customer_id,customer_name,email,phone,city,order_date,ship_date,category,unit_price_aed,quantity,payment_method
ORD002722,CUST00174,Noor Patel,noor.patel49@outlook.com,+971 59 1771298,AbuDhabi,2025-06-23,2025-06-27,Home & Kitchen,,6,credit card
ORD001694,CUST01421,Ahmed Ibrahim,ahmed.ibrahim63@gmail.com,0579853509,Dubai,2026-02-19,2026-02-25,Fashion,17.36,5,Cash on Delivery
ORD002345,CUST01739,Amina Hassan,amina.hassan85@yahoo.com,+971 58 9176000,Abu Dhabi,2025-12-07,2025-12-11,Sports,7.74,4,Debit Card
ORD000678,CUST01136,Aisha Sheikh,aisha.sheikh@gmail,+971 50 9060167,Dubai,2025-09-03,2025-09-11,Beauty,384.63,1,Cash on Delivery
ORD001368,CUST00005,Ali Hassan,ali.hassan66@yahoo.com,+971 57 7223122,Sharjah,2026-02-24,2026-03-01,Beauty,26.23,3,Debit Card
ORD000843,CUST01167,Khalid Rahman,khalid.rahman67@gmail.com,+971 59 1661606,Abu Dhabi,2025-03-16,2025-03-19,Groceries,21.7,6,CC
ORD002543,CUST00245,Mariam  Hassan,mariam.hassan78@gmail.com,+971 59 7359802,Abu dhabi,2026-04-14,2026-04-22,Books,53.68,6,CC
ORD001897,CUST01701,Amina Al Amiri,amina.alamiri89@yahoo.com,+971 53 4394574,Sharjah,2025-04-15,2025-04-25,Fashion,51.48,4,Credit Card
ORD001903,CUST00511,Tariq Al Ali,,+971 53 7060340,Dubai,2026-03-24,2026-04-01,Home & Kitchen,215.54,2,Debit Card
ORD003042,CUST01600,Salem Ahmed,salem.ahmed13@gmail.com,+971 50 9342975,AbuDhabi,2025-06-02,2025-06-05,Electronics,78.02,6,credit card
ORD002041,CUST01069,Ali Rahman,ali.rahman5@hotmail.com,+971 52 2087597,Ras Al Khaimah,2025-01-25,2025-01-29,Electronics,33.29,5,Apple Pay
ORD001511,CUST00859,Rashid Al Rashid,rashid.alrashid@gmail,+971 56 5822224,DUBAI,2026-06-28,2026-07-01,Electronics,21.29,2,credit card
ORD004053,CUST00900,Khalid Sheikh,khalid.sheikh1@gmail.com,+971 52 5178525,Fujairah,2026-05-21,2026-05-23,Books,105.66,5,CC
ORD004013,CUST00126,Huda Al Rashid,huda.alrashid42@hotmail.com,+971 50 1513994,Ras Al Khaimah,21/04/2025,2025-04-26,Home & Kitchen,24.9,4,COD
ORD004466,CUST01725,Noor Malik,noor.malik8@gmail.com,0579554680,Sharjah,2025-05-23,2025-06-01,Toys,20.98,1,CC
ORD004679,CUST01632,Huda Ibrahim,huda.ibrahim55@yahoo.com,+971 55 3429410,Abu Dhabi,2025-10-14,2025-10-19,Electronics,,3,Debit Card
ORD004718,CUST00448,Tariq Al Maktoum,tariq.almaktoum26@outlook.com,+971 56 8958176,RAK,2025-12-07,2025-12-09,Books,,2,COD
ORD000278,CUST00279,Fatima Sheikh,fatima.sheikh69@outlook.com,+971 58 1314043,Ajman,2026-02-28,2026-03-01,Sports,36.59,3,credit card
ORD003337,CUST00842,Mariam Ahmed,mariam.ahmed81@outlook.com,+971 58 2037197,Fujeirah,2026-02-01,2026-02-02,Sports,17.02,6,COD
