order_id,customer_id,customer_name,email,phone,city,order_date,ship_date,category,unit_price_aed,quantity,payment_method,flag_ship_before_order,flag_invalid_email,flag_price_outlier
ORD004348,CUST01097,Hassan Al Falasi,hassan.alfalasi@gmail,+971 59 1130646,Fujairah,2026-01-27,2026-02-04,Toys,13.71,3,Cash on Delivery,False,True,False
ORD001350,CUST01046,Yousef Malik,yousef.malik28@gmail.com,+971 53 2321338,Fujairah,2025-08-25,2025-08-22,Beauty,53.26,2,Apple Pay,True,False,False
ORD004753,CUST00779,Salem Ahmed,salem.ahmed72@yahoo.com,+971 50 9067165,Ajman,2026-02-17,2026-02-26,Fashion,5267.0,2,Credit Card,False,False,True
ORD004180,CUST01222,Fatima Rahman,fatima.rahman61@gmail.com,+971 52 5477859,Dubai,2026-05-30,2026-05-28,Books,47.33,1,Apple Pay,True,False,False
ORD001009,CUST00773,Fatima Rahman,fatima.rahman@gmail,+971 51 4741911,Fujairah,2026-11-06,2026-06-06,Groceries,190.48,2,Cash on Delivery,True,True,False
ORD000650,CUST00457,Mariam Al Amiri,mariam.alamiri@gmail,+971 57 8876684,Dubai,2026-05-03,2026-05-10,Books,133.78,1,Cash on Delivery,False,True,False
ORD000739,CUST00238,Tariq Rahman,tariq.rahman26@yahoo.com,+971 58 1148604,Dubai,2026-02-05,2026-02-04,Electronics,352.65,2,Credit Card,True,False,False
ORD000810,CUST00308,Khalid Al Suwaidi,khalid.alsuwaidi31@gmail.com,+971 52 7296917,Sharjah,2026-08-06,2026-06-14,Groceries,27.26,3,Cash on Delivery,True,False,False
ORD000206,CUST01053,Omar Ibrahim,omar.ibrahim@gmail,+971 51 4449052,Ajman,2025-01-08,2025-01-12,Beauty,26.11,4,Credit Card,False,True,False
ORD001947,CUST00714,Yousef Khan,yousef.khan94@hotmail.com,+971 58 9889191,Ajman,2026-05-01,2026-01-11,Sports,97.23,1,Cash on Delivery,True,False,False
ORD000210,CUST01519,Omar Al Rashid,omar.alrashid28@hotmail.com,+971 51 4042682,Ras Al Khaimah,2026-09-06,2026-06-12,Beauty,3142.37,2,Debit Card,True,False,False
ORD002001,CUST01301,Mariam Ibrahim,mariam.ibrahim21@gmail.com,+971 52 5969420,Abu Dhabi,2026-11-06,2026-06-07,Books,33.95,1,Apple Pay,True,False,False
ORD001345,CUST00748,Khalid Al Suwaidi,khalid.alsuwaidi84@gmail.com,+971 51 2350621,Fujairah,2025-11-25,2025-11-29,Books,17235.0,1,Credit Card,False,False,True
ORD004337,CUST00945,Mariam Rahman,mariamrahmangmail.com,+971 52 2743115,Ras Al Khaimah,2025-02-17,,Books,12.67,2,Credit Card,False,True,False
ORD002575,CUST00759,Tariq Malik,tariq.malik13@gmail.com,+971 54 4584894,Ras Al Khaimah,2025-11-22,2025-11-25,Sports,91671.0,1,Cash on Delivery,False,False,True
ORD002333,CUST01738,Sara Malik,sara.malik87@outlook.com,+971 52 8349730,Fujairah,2025-11-02,2025-02-17,Sports,14.62,1,Apple Pay,True,False,False
ORD000332,CUST01404,Noor Hassan,noor.hassan13@hotmail.com,+971 55 3735175,Sharjah,2025-05-28,2025-05-23,Sports,27.19,5,Apple Pay,True,False,False
ORD000591,CUST00210,Khalid Malik,khalidmalikgmail.com,+971 52 1044808,Ras Al Khaimah,2026-01-28,2026-02-07,Sports,71.63,5,Debit Card,False,True,False
ORD000940,CUST01274,Noor Sheikh,noor.sheikh99@hotmail.com,+971 50 9497362,Abu Dhabi,2025-05-02,2025-04-29,Home & Kitchen,37.94,2,Apple Pay,True,False,False
ORD003597,CUST00344,Layla Khan,layla.khan@gmail,+971 55 3153784,Abu Dhabi,2025-10-31,2025-11-10,Books,25.19,1,Cash on Delivery,False,True,False
ORD000837,CUST00022,Mohammed Al Ali,mohammed.alali87@yahoo.com,+971 58 6331060,Ras Al Khaimah,2025-06-17,2025-06-16,Beauty,314.35,2,Credit Card,True,False,False
ORD001660,CUST01239,Aisha Al Maktoum,aisha.almaktoum@gmail,+971 51 5715025,Ras Al Khaimah,2025-10-05,2025-10-09,Fashion,208.49,2,Cash on Delivery,False,True,False
ORD001442,CUST00926,Huda Al Suwaidi,huda.alsuwaidi10@hotmail.com,+971 58 6381462,Fujairah,2026-01-27,2026-01-26,Toys,215.61,2,Credit Card,True,False,False
ORD004206,CUST00428,Ahmed Patel,ahmed.patel@gmail,+971 54 9208433,Abu Dhabi,2025-11-13,2025-11-22,Electronics,35.65,1,Apple Pay,False,True,False
ORD004133,CUST01366,Yousef Al Ali,yousef.alali96@yahoo.com,+971 57 3233187,Ras Al Khaimah,2025-10-07,2025-07-20,Electronics,194.49,2,Cash on Delivery,True,False,False
ORD003910,CUST00236,Mohammed Nasser,mohammednassergmail.com,+971 59 4248028,Fujairah,2025-04-13,2025-04-20,Groceries,31.92,1,Cash on Delivery,False,True,False
ORD000286,CUST01041,Tariq Khan,tariqkhangmail.com,+971 56 5002629,Dubai,2025-11-30,2025-12-02,Sports,9.47,4,Credit Card,False,True,False
ORD001980,CUST00918,Ali Al Amiri,ali.alamiri14@outlook.com,+971 59 1394507,Abu Dhabi,2025-11-30,2025-11-27,Home & Kitchen,100.19,5,Debit Card,True,False,False
ORD001282,CUST00529,Reem Al Rashid,reemalrashidgmail.com,+971 51 5610226,Abu Dhabi,2026-05-24,2026-06-03,Fashion,57.26,3,Debit Card,False,True,False
ORD003326,CUST00378,Rashid Rahman,rashidrahmangmail.com,+971 55 9177302,Abu Dhabi,2025-03-09,2025-09-11,Fashion,107.25,1,Credit Card,False,True,False
ORD004566,CUST00149,Omar Hassan,omar.hassan96@yahoo.com,+971 56 7350072,Dubai,2025-12-28,2025-12-24,Groceries,37.69,2,Apple Pay,True,False,False
ORD004361,CUST01276,Tariq Ahmed,tariq.ahmed@gmail,+971 55 3584820,Ajman,2025-07-20,2025-07-30,Books,90.69,2,Credit Card,False,True,False
ORD003374,CUST00473,Reem Al Maktoum,reem.almaktoum@gmail,+971 52 4095888,Dubai,2025-06-23,2025-06-29,Fashion,406.34,5,Apple Pay,False,True,False
ORD000819,CUST01126,Huda Al Falasi,hudaalfalasigmail.com,+971 54 3008248,Dubai,2025-09-08,2025-09-14,Books,72.41,5,Cash on Delivery,False,True,False
ORD004285,CUST01007,Khalid Patel,khalidpatelgmail.com,+971 56 2415634,Ajman,2025-09-04,2025-09-05,Toys,30.6,1,Apple Pay,False,True,False
ORD002601,CUST01530,Layla Al Falasi,layla.alfalasi@gmail,+971 52 8245643,Ras Al Khaimah,2026-05-31,2026-06-08,Fashion,,2,Credit Card,False,True,False
ORD001913,CUST01452,Fatima Hassan,fatima.hassan24@yahoo.com,+971 54 7800921,Fujairah,2025-03-22,2025-03-25,Beauty,6311.0,1,Apple Pay,False,False,True
ORD002368,CUST00589,Layla Ibrahim,layla.ibrahim22@yahoo.com,+971 55 9905796,Abu Dhabi,2026-04-01,2026-01-08,Electronics,12.09,1,Credit Card,True,False,False
ORD002064,CUST00148,Mariam Ahmed,mariamahmedgmail.com,+971 51 6327115,Ras Al Khaimah,2025-09-04,2025-09-13,Fashion,60.15,2,Cash on Delivery,False,True,False
ORD004139,CUST01054,Hassan Sheikh,hassan.sheikh93@outlook.com,+971 52 4504169,Sharjah,2026-06-05,2026-06-12,Groceries,-162.6,2,Credit Card,False,False,True
ORD000380,CUST01492,Mariam Khan,mariam.khan98@outlook.com,+971 53 8367017,Ras Al Khaimah,2025-12-04,2025-04-18,Groceries,29.72,1,Credit Card,True,False,False
ORD001990,CUST00290,Ali Patel,alipatelgmail.com,+971 54 9858797,Sharjah,2026-04-06,2026-04-01,Fashion,102.71,1,Credit Card,True,True,False
ORD002467,CUST00435,Noor Ahmed,noorahmedgmail.com,+971 51 2879138,Dubai,2026-03-18,2026-03-28,Books,31.08,2,Apple Pay,False,True,False
ORD002633,CUST01729,Huda Ibrahim,huda.ibrahim@gmail,+971 50 5172632,Abu Dhabi,2025-12-12,2025-12-22,Sports,81.23,5,Apple Pay,False,True,False
ORD002996,CUST00367,Ahmed Al Falasi,ahmed.alfalasi80@yahoo.com,+971 54 1118167,Dubai,2025-11-03,2025-03-19,Electronics,72.06,3,Apple Pay,True,False,False
ORD004757,CUST01747,Amina Al Rashid,amina.alrashid75@outlook.com,+971 57 4281914,Sharjah,2025-07-10,2025-07-09,Groceries,14.92,1,Cash on Delivery,True,False,False
ORD001441,CUST01113,Ali Al Amiri,ali.alamiri74@gmail.com,+971 57 9270231,Ajman,2026-09-05,2026-05-10,Beauty,,5,Credit Card,True,False,False
ORD002814,CUST01369,Amina Al Suwaidi,amina.alsuwaidi23@yahoo.com,+971 51 8947061,Dubai,2026-02-12,2026-02-11,Beauty,48.36,4,Credit Card,True,False,False
ORD002466,CUST00094,Sara Khan,sara.khan@gmail,+971 53 4950524,Sharjah,2025-01-09,2025-01-12,Home & Kitchen,161.95,3,Credit Card,False,True,False
ORD001866,CUST00613,Amina Malik,amina.malik@gmail,+971 53 2301973,Sharjah,2025-02-08,2025-08-03,Sports,12.65,1,Cash on Delivery,False,True,False
ORD004608,CUST00583,Amina Rahman,,+971 55 6271102,Fujairah,2026-03-02,2026-02-05,Toys,108.77,3,Cash on Delivery,True,False,False
ORD000801,CUST00944,Ali Hassan,ali.hassan@gmail,+971 56 3582508,Fujairah,2025-05-18,2025-05-16,Groceries,170.42,2,Credit Card,True,True,False
ORD003976,CUST01322,Mohammed  Patel,mohammed.patel35@gmail.com,+971 58 7183949,Abu Dhabi,2025-11-10,2025-10-14,Books,80.77,1,Credit Card,True,False,False
ORD004394,CUST01187,Layla Rahman,layla.rahman93@gmail.com,+971 52 2556832,Ajman,2025-07-02,2025-02-03,Sports,39.15,2,Debit Card,True,False,False
ORD003379,CUST00113,Omar Malik,omar.malik72@yahoo.com,+971 51 1528734,Ras Al Khaimah,2025-07-04,2025-04-11,Books,110.61,1,Credit Card,True,False,False
ORD004175,CUST01092,Mariam Sheikh,mariam.sheikh25@hotmail.com,+971 53 7534935,Abu Dhabi,2025-11-01,2025-01-12,Electronics,55.96,2,Cash on Delivery,True,False,False
ORD004620,CUST00773,Salem Nasser,salem.nasser@gmail,+971 50 2430310,Abu Dhabi,2026-05-28,2026-06-05,Toys,59.99,4,Credit Card,False,True,False
ORD002403,CUST01648,Huda Ahmed,huda.ahmed6@hotmail.com,+971 50 9826928,Ras Al Khaimah,2026-02-19,2026-02-27,Toys,-38.6,3,Cash on Delivery,False,False,True
ORD000833,CUST00154,Salem Ahmed,salem.ahmed@gmail,+971 50 5684988,Ras Al Khaimah,2025-09-12,2025-12-10,Electronics,24.43,4,Credit Card,False,True,False
ORD001362,CUST00279,Zainab Al Rashid,zainabalrashidgmail.com,+971 52 5536103,Ras Al Khaimah,2025-10-28,2025-10-31,Sports,119.02,1,Cash on Delivery,False,True,False
ORD000671,CUST00894,Zainab Malik,zainab.malik@gmail,+971 55 2097443,Dubai,2026-04-05,2026-04-06,Groceries,231.85,1,Credit Card,False,True,False
ORD003210,CUST01628,Ali Al Amiri,ali.alamiri99@gmail.com,+971 57 5724395,Ajman,2026-12-01,2026-01-19,Electronics,104.71,1,Credit Card,True,False,False
ORD003725,CUST01677,Layla Sheikh,layla.sheikh@gmail,+971 55 2966266,Dubai,2025-10-04,2025-10-10,Home & Kitchen,35.8,2,Credit Card,False,True,False
ORD003393,CUST00114,Ali Nasser,ali.nasser@gmail,+971 57 8139382,Fujairah,2025-04-21,2025-04-24,Toys,61.93,1,Credit Card,False,True,False
ORD001603,CUST00212,Ahmed Al Suwaidi,ahmedalsuwaidigmail.com,+971 56 2148265,Sharjah,2025-03-23,2025-03-26,Fashion,34.95,2,Cash on Delivery,False,True,False
ORD003113,CUST01694,Tariq Al Ali,tariq.alali70@hotmail.com,+971 59 2993518,Fujairah,2025-12-07,2025-07-21,Home & Kitchen,49.36,3,Cash on Delivery,True,False,False
ORD003043,CUST00824,Reem Sheikh,reemsheikhgmail.com,+971 50 3199558,Sharjah,2026-01-03,2026-03-08,Toys,37.09,1,Credit Card,False,True,False
ORD000923,CUST01259,Zainab Patel,zainab.patel@gmail,+971 59 4971964,Ras Al Khaimah,2026-03-16,2026-03-24,Fashion,76.17,4,Credit Card,False,True,False
ORD000309,CUST00183,Sara Al Amiri,sara.alamiri54@hotmail.com,+971 50 4019906,Ajman,2025-10-05,2025-05-15,Books,115.25,1,Credit Card,True,False,False
ORD003571,CUST01720,Mariam Rahman,mariam.rahman45@hotmail.com,+971 57 3648583,Dubai,2025-09-16,2025-09-13,Beauty,49.53,2,Credit Card,True,False,False
ORD003925,CUST00703,Ahmed Patel,ahmed.patel22@hotmail.com,+971 50 7700831,Dubai,2025-04-03,2025-03-05,Electronics,51.28,1,Apple Pay,True,False,False
ORD000925,CUST01447,Hassan Hassan,hassan.hassan@gmail,+971 51 7758079,Ajman,2025-10-31,2025-11-03,Fashion,220.31,1,Cash on Delivery,False,True,False
ORD002257,CUST00039,Salem Hassan,salemhassangmail.com,+971 51 1291552,Ajman,2026-04-21,2026-05-01,Home & Kitchen,161.89,1,Credit Card,False,True,False
ORD004979,CUST00649,Sara Al Maktoum,saraalmaktoumgmail.com,+971 51 1499151,Fujairah,2026-06-17,2026-06-25,Books,98.46,3,Apple Pay,False,True,False
ORD000273,CUST01270,Reem Hassan,reem.hassan7@yahoo.com,+971 51 7995376,Dubai,2025-12-24,2025-12-23,Sports,213.4,1,Credit Card,True,False,False
ORD003205,CUST00158,Yousef Al Maktoum,yousef.almaktoum54@hotmail.com,+971 57 7245743,Ras Al Khaimah,2025-05-15,2025-05-10,Sports,,2,Cash on Delivery,True,False,False
ORD003313,CUST01048,Yousef Al Falasi,yousef.alfalasi39@outlook.com,+971 56 1430284,Ajman,2026-01-21,2026-01-16,Groceries,537.03,4,Cash on Delivery,True,False,False
ORD001949,CUST00908,Yousef Ibrahim,yousefibrahimgmail.com,+971 58 8009961,Fujairah,2026-03-24,2026-03-26,Beauty,205.62,3,Credit Card,False,True,False
ORD000612,CUST00194,Mohammed Al Suwaidi,mohammedalsuwaidigmail.com,+971 55 7254467,Sharjah,2026-03-18,2026-03-24,Books,63.08,2,Credit Card,False,True,False
ORD000378,CUST01653,Salem Al Maktoum,salem.almaktoum@gmail,+971 55 1783099,Fujairah,2025-08-21,2025-08-25,Books,80.11,3,Credit Card,False,True,False
ORD000387,CUST00844,Huda Nasser,huda.nasser@gmail,+971 58 9706452,Dubai,2026-05-03,2026-05-05,Groceries,93.86,4,Credit Card,False,True,False
ORD003575,CUST01261,Rashid Al Maktoum,rashid.almaktoum25@yahoo.com,+971 53 4523878,Sharjah,2025-10-07,2025-10-04,Beauty,18.73,2,Debit Card,True,False,False
ORD000301,CUST01599,Khalid Khan,khalid.khan@gmail,+971 57 2164313,Ajman,2026-02-02,2026-02-03,Sports,29.11,2,Debit Card,False,True,False
ORD001250,CUST00464,Mohammed Ahmed,mohammed.ahmed28@hotmail.com,+971 50 5451032,Ras Al Khaimah,2026-06-03,2026-03-10,Sports,14.07,1,Cash on Delivery,True,False,False
ORD004385,CUST00398,Omar Hassan,omar.hassan52@hotmail.com,+971 54 3671711,Dubai,2026-11-03,2026-03-17,Beauty,36.33,3,Cash on Delivery,True,False,False
ORD004410,CUST00104,Tariq Patel,tariqpatelgmail.com,+971 59 2677739,Ras Al Khaimah,2026-01-03,2026-01-04,Sports,160.16,2,Credit Card,False,True,False
ORD004005,CUST01295,Khalid Patel,khalid.patel12@yahoo.com,+971 50 6021681,Ajman,2025-01-22,2025-01-18,Home & Kitchen,17.0,4,Credit Card,True,False,False
ORD003884,CUST00206,Rashid Rahman,rashid.rahman@gmail,+971 58 3512614,Abu Dhabi,2026-02-25,2026-03-05,Groceries,27.38,5,Credit Card,False,True,False
ORD001753,CUST01317,Yousef  Al Maktoum,yousef.almaktoum@gmail,+971 54 7983110,Ajman,2025-10-21,2025-10-24,Toys,34.67,3,Cash on Delivery,False,True,False
ORD002371,CUST01290,Ali Rahman,ali.rahman2@hotmail.com,+971 56 6821861,Sharjah,2026-01-15,2026-01-11,Groceries,57.06,4,Cash on Delivery,True,False,False
ORD004386,CUST01160,Omar Al Ali,omar.alali@gmail,+971 58 7103671,Fujairah,2025-02-08,2025-02-10,Toys,44.51,5,Debit Card,False,True,False
ORD001198,CUST01647,Omar Rahman,omarrahmangmail.com,+971 55 6978202,Dubai,2025-05-25,2025-06-01,Toys,115.87,1,Apple Pay,False,True,False
ORD003467,CUST01780,Sara Sheikh,sarasheikhgmail.com,+971 52 3630230,Abu Dhabi,2025-09-05,,Electronics,44.18,2,Credit Card,False,True,False
ORD002643,CUST01501,Reem  Sheikh,reem.sheikh77@hotmail.com,+971 56 7755509,Ajman,2025-10-06,2025-10-10,Home & Kitchen,-28.57,1,Debit Card,False,False,True
ORD002921,CUST01331,Salem Patel,salempatelgmail.com,+971 51 9224093,Ras Al Khaimah,2026-11-02,2026-02-18,Books,32.5,1,Debit Card,True,True,False
ORD002426,CUST01561,Noor Al Ali,nooralaligmail.com,+971 55 8240054,Abu Dhabi,2026-04-08,2026-04-09,Home & Kitchen,111.53,1,Apple Pay,False,True,False
ORD003691,CUST00972,Omar Ahmed,omarahmedgmail.com,+971 57 2859432,Ras Al Khaimah,2025-03-15,2025-03-21,Fashion,113.68,1,Credit Card,False,True,False
ORD003182,CUST01784,Mohammed Rahman,mohammed.rahman89@outlook.com,+971 59 8427204,Dubai,2025-02-06,2025-02-14,Home & Kitchen,-112.41,1,Debit Card,False,False,True
ORD004181,CUST01456,Mariam Al Amiri,mariam.alamiri@gmail,+971 57 3437133,Dubai,2025-05-04,2025-05-07,Home & Kitchen,88.09,2,Credit Card,False,True,False
ORD001869,CUST00384,Ali Al Suwaidi,ali.alsuwaidi89@gmail.com,+971 53 7431574,Abu Dhabi,2025-05-14,2025-05-13,Fashion,22.4,1,Credit Card,True,False,False
ORD000748,CUST00642,Huda Rahman,hudarahmangmail.com,+971 51 8101189,Abu Dhabi,2025-02-25,,Fashion,,2,Debit Card,False,True,False
ORD004233,CUST01784,Mohammed Al Maktoum,mohammed.almaktoum88@gmail.com,+971 57 4571994,Abu Dhabi,2025-06-15,2025-06-11,Toys,36.2,3,Credit Card,True,False,False
ORD003342,CUST01456,Khalid Al Rashid,khalidalrashidgmail.com,+971 58 1977178,Dubai,2026-02-25,2026-02-28,Books,,1,Credit Card,False,True,False
ORD003556,CUST01550,Tariq Hassan,tariq.hassan@gmail,+971 56 6580458,Abu Dhabi,2025-09-17,2025-09-24,Fashion,64.57,2,Credit Card,False,True,False
ORD000582,CUST01536,Fatima Hassan,fatimahassangmail.com,+971 50 3547579,Ras Al Khaimah,2026-02-15,2026-02-20,Fashion,44.02,4,Credit Card,False,True,False
ORD004953,CUST00773,Aisha Al Maktoum,aishaalmaktoumgmail.com,+971 58 9285013,Ajman,2025-11-16,2025-11-19,Home & Kitchen,146.92,2,Cash on Delivery,False,True,False
ORD004769,CUST00853,Omar Malik,omar.malik@gmail,+971 51 5631354,Sharjah,2025-09-27,2025-10-02,Electronics,186.68,4,Credit Card,False,True,False
ORD002666,CUST00014,Mariam Rahman,mariam.rahman35@hotmail.com,+971 50 7996935,Dubai,2026-01-05,2026-01-04,Home & Kitchen,16.99,2,Cash on Delivery,True,False,False
ORD004804,CUST00202,Yousef Al Falasi,yousefalfalasigmail.com,+971 51 3886107,Sharjah,2025-05-05,2025-05-12,Groceries,32.85,2,Apple Pay,False,True,False
ORD004731,CUST01751,Ahmed Hassan,ahmed.hassan73@hotmail.com,+971 58 9022235,Dubai,2025-04-28,2025-04-25,Toys,20.31,1,Cash on Delivery,True,False,False
ORD003768,CUST01659,Reem Malik,,+971 57 8748908,Fujairah,2025-10-02,2025-02-11,Beauty,245.55,3,Apple Pay,True,False,False
ORD002895,CUST01623,Zainab Al Rashid,zainab.alrashid55@hotmail.com,+971 52 9623852,Abu Dhabi,2025-07-27,2025-07-25,Home & Kitchen,110.86,1,Credit Card,True,False,False
ORD004651,CUST01259,Sara Al Falasi,sara.alfalasi77@yahoo.com,+971 56 2207037,Ras Al Khaimah,2025-10-02,2025-02-14,Fashion,52.01,4,Cash on Delivery,True,False,False
ORD000117,CUST00990,Amina Al Amiri,amina.alamiri1@gmail.com,+971 52 2795437,Ajman,2025-01-13,2025-01-10,Sports,64.41,4,Credit Card,True,False,False
ORD001071,CUST01574,Salem Malik,salem.malik16@gmail.com,+971 53 3329746,Sharjah,2025-01-03,2025-01-02,Toys,63.63,1,Credit Card,True,False,False
ORD001497,CUST00549,Hassan Al Rashid,,+971 51 4837945,Sharjah,2025-09-29,2025-10-09,Books,26200.5,2,Credit Card,False,False,True
ORD000510,CUST01718,Khalid Hassan,khalid.hassan87@outlook.com,+971 52 8214533,Sharjah,2025-02-03,2025-02-01,Groceries,29.05,3,Cash on Delivery,True,False,False
ORD000329,CUST01012,Tariq Hassan,tariq.hassan29@outlook.com,+971 52 9252486,Dubai,2025-07-06,2025-06-15,Fashion,124.48,2,Apple Pay,True,False,False
ORD000161,CUST01155,Mariam Malik,mariam.malik64@yahoo.com,+971 57 1011467,Abu Dhabi,2026-05-18,2026-05-17,Beauty,25.16,1,Credit Card,True,False,False
ORD000939,CUST01009,Fatima Nasser,fatima.nasser@gmail,+971 50 4868819,Abu Dhabi,2025-05-13,2025-05-22,Electronics,85.1,3,Cash on Delivery,False,True,False
ORD004263,CUST01651,Layla Al Suwaidi,layla.alsuwaidi@gmail,+971 54 9535367,Abu Dhabi,2026-07-05,2026-05-17,Home & Kitchen,142.52,1,Cash on Delivery,True,True,False
ORD003948,CUST00506,Layla Al Amiri,layla.alamiri@gmail,+971 54 3137776,Fujairah,2026-05-28,2026-05-30,Toys,102.33,1,Cash on Delivery,False,True,False
ORD002458,CUST01357,Zainab Hassan,zainab.hassan41@gmail.com,+971 58 2152385,Fujairah,2025-01-14,2025-01-24,Groceries,-84.72,2,Debit Card,False,False,True
ORD001100,CUST01584,Khalid Rahman,khalid.rahman5@yahoo.com,+971 55 7447049,Ajman,2025-04-15,2025-04-13,Electronics,94.3,5,Credit Card,True,False,False
ORD002607,CUST01668,Aisha Al Rashid,aishaalrashidgmail.com,+971 54 3958801,Dubai,2026-05-18,2026-05-22,Groceries,36.42,4,Debit Card,False,True,False
ORD001168,CUST00639,Noor Ibrahim,nooribrahimgmail.com,+971 53 7419280,Dubai,2025-09-12,2025-09-21,Home & Kitchen,117.2,1,Cash on Delivery,False,True,False
ORD002497,CUST00699,Ahmed Al Rashid,ahmed.alrashid20@hotmail.com,+971 51 4560071,Ajman,2026-09-02,2026-02-17,Fashion,50.45,1,Credit Card,True,False,False
ORD004949,CUST00288,Yousef Nasser,yousef.nasser99@yahoo.com,+971 51 4764494,Sharjah,2025-10-07,2025-07-12,Home & Kitchen,45.35,3,Cash on Delivery,True,False,False
ORD000072,CUST00262,Rashid Nasser,rashid.nasser83@gmail.com,+971 57 4221313,Fujairah,2026-06-01,2026-01-03,Home & Kitchen,310.45,3,Credit Card,True,False,False
ORD003317,CUST01102,Huda Hassan,huda.hassan55@yahoo.com,+971 51 5097949,Ajman,2025-03-16,2025-03-11,Groceries,63.19,5,Credit Card,True,False,False
ORD002420,CUST00653,Khalid Patel,khalid.patel@gmail,+971 58 2812787,Abu Dhabi,2025-09-15,2025-09-17,Beauty,17.7,5,Credit Card,False,True,False
ORD002206,CUST01575,Khalid Al Maktoum,khalid.almaktoum@gmail,+971 56 7085992,Ajman,2026-01-16,2026-01-23,Sports,106.95,4,Credit Card,False,True,False
ORD003903,CUST00589,Hassan Rahman,hassan.rahman60@yahoo.com,+971 55 6841735,Fujairah,2025-11-20,2025-11-15,Electronics,353.92,2,Apple Pay,True,False,False
ORD001377,CUST01577,Mohammed Al Maktoum,mohammed.almaktoum@gmail,+971 57 8711923,Ajman,2026-01-22,2026-01-24,Beauty,3416.0,3,Debit Card,False,True,False
ORD000442,CUST00345,Noor Al Maktoum,noor.almaktoum13@gmail.com,+971 52 4322233,Fujairah,2026-04-03,2026-03-09,Toys,64.54,3,Debit Card,True,False,False
